kode,bank,url,logo
002,Bank BRI (Bank Rakyat Indonesia),,https://upload.wikimedia.org/wikipedia/commons/9/9a/BRI_2025_%28with_full_name%29.svg
003,Bank Ekspor Indonesia,,
008,Bank Mandiri,https://www.bankmandiri.co.id/,https://upload.wikimedia.org/wikipedia/commons/a/ad/Bank_Mandiri_logo_2016.svg
009,Bank BNI (Bank Negara Indonesia),https://www.bni.co.id/,https://upload.wikimedia.org/wikipedia/commons/f/f0/Bank_Negara_Indonesia_logo_%282004%29.svg
011,Bank Danamon,,https://upload.wikimedia.org/wikipedia/commons/6/62/Danamon_%282024%29.svg
013,Permata Bank,,https://upload.wikimedia.org/wikipedia/commons/4/46/PermataBank_%282024%29_prototype_logo.svg
014,Bank BCA (Bank Central Asia),https://www.bca.co.id/,https://upload.wikimedia.org/wikipedia/commons/5/5c/Bank_Central_Asia.svg
016,Bank BII Maybank,,https://upload.wikimedia.org/wikipedia/commons/f/f6/BII_2001.svg
019,Bank Panin,,https://upload.wikimedia.org/wikipedia/commons/c/c9/Logo_Panin_Bank.svg
020,Bank Arta Niaga Kencana,,
022,Bank CIMB Niaga,,https://upload.wikimedia.org/wikipedia/commons/3/38/CIMB_Niaga_logo.svg
022,Bank CIMB Niaga Syariah,,https://upload.wikimedia.org/wikipedia/commons/3/38/CIMB_Niaga_logo.svg
023,Bank UOB Indonesia,,https://upload.wikimedia.org/wikipedia/commons/e/e0/UOB_Logo_%282022%29.svg
023,TMRW by UOB Indonesia,,
026,Bank Lippo,,https://upload.wikimedia.org/wikipedia/commons/6/65/LippoBank.svg
028,BPR Danagung Abadi,,
028,BPR Danagung Bakti,,
028,BPR Danagung Ramulti,,
028,Bank OCBC NISP,,https://upload.wikimedia.org/wikipedia/commons/2/2a/OCBC_Sekuritas.png
030,American Express Bank LTD,,https://upload.wikimedia.org/wikipedia/commons/f/fa/American_Express_logo_%282018%29.svg
031,Citibank,,https://upload.wikimedia.org/wikipedia/commons/1/1d/Citibank.svg
032,"JP. Morgan Chase Bank, N.A.",,https://upload.wikimedia.org/wikipedia/commons/c/c9/Logo_of_JPMorganChase_2024.svg
033,"Bank of America, N.A",,https://upload.wikimedia.org/wikipedia/commons/6/60/Bank_of_America_logo_%281998%E2%80%932018%29.svg
034,Ing Indonesia Bank,,https://upload.wikimedia.org/wikipedia/commons/5/5e/ING_Group_N.V._Logo.svg
036,China Construction Bank Indonesia,,
037,Bank Artha Graha Internasional,,https://upload.wikimedia.org/wikipedia/commons/d/d1/Bank_Artha_Graha_Internasional.png
039,Bank Credit Agricole Indosuez,,https://upload.wikimedia.org/wikipedia/commons/c/c4/Cr%C3%A9dit_Agricole_2020_logo.svg
040,The Bangkok Bank Comp. LTD,,https://upload.wikimedia.org/wikipedia/commons/9/9f/Bangkok_Bank_logo.svg
042,Mitsubishi UFJ Financial Group (MUFG Bank),,https://upload.wikimedia.org/wikipedia/commons/c/c5/Mitsubishi-UFJ-Financial-Group-Logo.svg
045,Bank Sumitomo Mitsui Indonesia,,
046,Bank DBS Indonesia,,
046,Digibank,,
047,Bank Resona Perdania,,
048,Bank Mizuho Indonesia,,https://upload.wikimedia.org/wikipedia/commons/1/14/Mizuho_Bank_logo.svg
050,Standard Chartered Bank,,https://upload.wikimedia.org/wikipedia/commons/7/7e/Standard_Chartered_Logo_%282021%2C_Logo_only%29.svg
052,Bank ABN AMRO,,https://upload.wikimedia.org/wikipedia/commons/8/81/ABN_AMRO_logo.svg
