kode_pos,provinsi,kota_kabupaten,kecamatan,kelurahan_desa,kelurahan_desa_id
23773,Aceh,Aceh Selatan,Bakongan,Keude Bakongan,1101012001
23773,Aceh,Aceh Selatan,Bakongan,Ujong Mangki,1101012002
23773,Aceh,Aceh Selatan,Bakongan,Ujong Padang,1101012003
23773,Aceh,Aceh Selatan,Bakongan,Gampong Drien,1101012004
23773,Aceh,Aceh Selatan,Bakongan,Darul Ikhsan,1101012015
23773,Aceh,Aceh Selatan,Bakongan,Padang Beurahan,1101012016
23773,Aceh,Aceh Selatan,Bakongan,Gampong Baro,1101012017
23771,Aceh,Aceh Selatan,Kluet Utara,Fajar Harapan,1101022001
23771,Aceh,Aceh Selatan,Kluet Utara,Krueng Batee,1101022002
23771,Aceh,Aceh Selatan,Kluet Utara,Pasi Kuala Asahan,1101022003
23771,Aceh,Aceh Selatan,Kluet Utara,Gunung Pulo,
23771,Aceh,Aceh Selatan,Kluet Utara,Pulo Ie I,1101022005
23771,Aceh,Aceh Selatan,Kluet Utara,Jambo Manyang,1101022006
23771,Aceh,Aceh Selatan,Kluet Utara,Simpang Empat,1101022007
23771,Aceh,Aceh Selatan,Kluet Utara,Limau Purut,1101022008
23771,Aceh,Aceh Selatan,Kluet Utara,Pulo Kambing,1101022009
23771,Aceh,Aceh Selatan,Kluet Utara,Kampung Paya,1101022010
23771,Aceh,Aceh Selatan,Kluet Utara,Krueng Batu,1101022011
23771,Aceh,Aceh Selatan,Kluet Utara,Krueng Kluet,1101022012
23771,Aceh,Aceh Selatan,Kluet Utara,Alur Mas,1101022013
23771,Aceh,Aceh Selatan,Kluet Utara,Kampung Tinggi,1101022014
23771,Aceh,Aceh Selatan,Kluet Utara,Ruak,1101022015
23771,Aceh,Aceh Selatan,Kluet Utara,Simpang Lhee,1101022016
23771,Aceh,Aceh Selatan,Kluet Utara,Suaq Geuringgeng,1101022017
23771,Aceh,Aceh Selatan,Kluet Utara,Pasi Kuala Ba'u,1101022018
23771,Aceh,Aceh Selatan,Kluet Utara,Kedai Padang,1101022019
23771,Aceh,Aceh Selatan,Kluet Utara,Kotafajar,1101022020
23771,Aceh,Aceh Selatan,Kluet Utara,Gunung Pudung,1101022021
23772,Aceh,Aceh Selatan,Kluet Selatan,Suaq Bakung,1101032001
23772,Aceh,Aceh Selatan,Kluet Selatan,Rantau Binuang,1101032002
23772,Aceh,Aceh Selatan,Kluet Selatan,Barat Daya,1101032003
23772,Aceh,Aceh Selatan,Kluet Selatan,Sialang,1101032004
23772,Aceh,Aceh Selatan,Kluet Selatan,Kapeh,1101032005
23772,Aceh,Aceh Selatan,Kluet Selatan,Pulo Ie,1101032006
23772,Aceh,Aceh Selatan,Kluet Selatan,Kedai Runding,1101032007
23772,Aceh,Aceh Selatan,Kluet Selatan,Kedai Kandang,1101032008
23772,Aceh,Aceh Selatan,Kluet Selatan,Gampong Luar,1101032009
23772,Aceh,Aceh Selatan,Kluet Selatan,Ujung,1101032010
23772,Aceh,Aceh Selatan,Kluet Selatan,Jua,1101032011
23772,Aceh,Aceh Selatan,Kluet Selatan,Pasi Meurapat,1101032012
23772,Aceh,Aceh Selatan,Kluet Selatan,Ujung Pasir,1101032013
23772,Aceh,Aceh Selatan,Kluet Selatan,Geulumbuk,1101032014
23772,Aceh,Aceh Selatan,Kluet Selatan,Pasie Lembang,1101032015
23772,Aceh,Aceh Selatan,Kluet Selatan,Ujung Padang,1101032016
23772,Aceh,Aceh Selatan,Kluet Selatan,Indra Damai,1101032017
23761,Aceh,Aceh Selatan,Labuhan Haji,Bakau Hulu,1101042001
23761,Aceh,Aceh Selatan,Labuhan Haji,Padang Bakau,1101042002
23761,Aceh,Aceh Selatan,Labuhan Haji,Manggis Harapan,1101042003
23761,Aceh,Aceh Selatan,Labuhan Haji,Pasar Lama,1101042004
23761,Aceh,Aceh Selatan,Labuhan Haji,Apha,1101042005
23761,Aceh,Aceh Selatan,Labuhan Haji,Ujung Batu,1101042006
23761,Aceh,Aceh Selatan,Labuhan Haji,Pawoh,1101042007
23761,Aceh,Aceh Selatan,Labuhan Haji,Dalam,1101042008
23761,Aceh,Aceh Selatan,Labuhan Haji,Palak,
23761,Aceh,Aceh Selatan,Labuhan Haji,Cacang,1101042010
23761,Aceh,Aceh Selatan,Labuhan Haji,Tengah Pisang,1101042011
23761,Aceh,Aceh Selatan,Labuhan Haji,Pisang,1101042012
23761,Aceh,Aceh Selatan,Labuhan Haji,Hulu Pisang,1101042013
23761,Aceh,Aceh Selatan,Labuhan Haji,Tengah Baru,1101042014
23761,Aceh,Aceh Selatan,Labuhan Haji,Lembah Baru,1101042015
