kode_pos,provinsi,kota_kabupaten,kecamatan,kelurahan_desa,kelurahan_desa_id
23773,Aceh,Aceh Selatan,Bakongan,Keude Bakongan,11.01.01.2001
23773,Aceh,Aceh Selatan,Bakongan,Ujong Mangki,11.01.01.2002
23773,Aceh,Aceh Selatan,Bakongan,Ujong Padang,11.01.01.2003
23773,Aceh,Aceh Selatan,Bakongan,Gampong Drien,11.01.01.2004
23773,Aceh,Aceh Selatan,Bakongan,Darul Ikhsan,11.01.01.2015
23773,Aceh,Aceh Selatan,Bakongan,Padang Beurahan,11.01.01.2016
23773,Aceh,Aceh Selatan,Bakongan,Gampong Baro,11.01.01.2017
23771,Aceh,Aceh Selatan,Kluet Utara,Fajar Harapan,11.01.02.2001
23771,Aceh,Aceh Selatan,Kluet Utara,Krueng Batee,11.01.02.2002
23771,Aceh,Aceh Selatan,Kluet Utara,Pasi Kuala Asahan,11.01.02.2003
23771,Aceh,Aceh Selatan,Kluet Utara,Gunung Pulo,
23771,Aceh,Aceh Selatan,Kluet Utara,Pulo Ie I,11.01.02.2005
23771,Aceh,Aceh Selatan,Kluet Utara,Jambo Manyang,11.01.02.2006
23771,Aceh,Aceh Selatan,Kluet Utara,Simpang Empat,11.01.02.2007
23771,Aceh,Aceh Selatan,Kluet Utara,Limau Purut,11.01.02.2008
23771,Aceh,Aceh Selatan,Kluet Utara,Pulo Kambing,11.01.02.2009
23771,Aceh,Aceh Selatan,Kluet Utara,Kampung Paya,11.01.02.2010
23771,Aceh,Aceh Selatan,Kluet Utara,Krueng Batu,11.01.02.2011
23771,Aceh,Aceh Selatan,Kluet Utara,Krueng Kluet,11.01.02.2012
23771,Aceh,Aceh Selatan,Kluet Utara,Alur Mas,11.01.02.2013
23771,Aceh,Aceh Selatan,Kluet Utara,Kampung Tinggi,11.01.02.2014
23771,Aceh,Aceh Selatan,Kluet Utara,Ruak,11.01.02.2015
23771,Aceh,Aceh Selatan,Kluet Utara,Simpang Lhee,11.01.02.2016
23771,Aceh,Aceh Selatan,Kluet Utara,Suaq Geuringgeng,11.01.02.2017
23771,Aceh,Aceh Selatan,Kluet Utara,Pasi Kuala Ba'u,11.01.02.2018
23771,Aceh,Aceh Selatan,Kluet Utara,Kedai Padang,11.01.02.2019
23771,Aceh,Aceh Selatan,Kluet Utara,Kotafajar,11.01.02.2020
23771,Aceh,Aceh Selatan,Kluet Utara,Gunung Pudung,11.01.02.2021
23772,Aceh,Aceh Selatan,Kluet Selatan,Suaq Bakung,11.01.03.2001
23772,Aceh,Aceh Selatan,Kluet Selatan,Rantau Binuang,11.01.03.2002
23772,Aceh,Aceh Selatan,Kluet Selatan,Barat Daya,11.01.03.2003
23772,Aceh,Aceh Selatan,Kluet Selatan,Sialang,11.01.03.2004
23772,Aceh,Aceh Selatan,Kluet Selatan,Kapeh,11.01.03.2005
23772,Aceh,Aceh Selatan,Kluet Selatan,Pulo Ie,11.01.03.2006
23772,Aceh,Aceh Selatan,Kluet Selatan,Kedai Runding,11.01.03.2007
23772,Aceh,Aceh Selatan,Kluet Selatan,Kedai Kandang,11.01.03.2008
23772,Aceh,Aceh Selatan,Kluet Selatan,Gampong Luar,11.01.03.2009
23772,Aceh,Aceh Selatan,Kluet Selatan,Ujung,11.01.03.2010
23772,Aceh,Aceh Selatan,Kluet Selatan,Jua,11.01.03.2011
23772,Aceh,Aceh Selatan,Kluet Selatan,Pasi Meurapat,11.01.03.2012
23772,Aceh,Aceh Selatan,Kluet Selatan,Ujung Pasir,11.01.03.2013
23772,Aceh,Aceh Selatan,Kluet Selatan,Geulumbuk,11.01.03.2014
23772,Aceh,Aceh Selatan,Kluet Selatan,Pasie Lembang,11.01.03.2015
23772,Aceh,Aceh Selatan,Kluet Selatan,Ujung Padang,11.01.03.2016
23772,Aceh,Aceh Selatan,Kluet Selatan,Indra Damai,11.01.03.2017
23761,Aceh,Aceh Selatan,Labuhan Haji,Bakau Hulu,11.01.04.2001
23761,Aceh,Aceh Selatan,Labuhan Haji,Padang Bakau,11.01.04.2002
23761,Aceh,Aceh Selatan,Labuhan Haji,Manggis Harapan,11.01.04.2003
23761,Aceh,Aceh Selatan,Labuhan Haji,Pasar Lama,11.01.04.2004
23761,Aceh,Aceh Selatan,Labuhan Haji,Apha,11.01.04.2005
23761,Aceh,Aceh Selatan,Labuhan Haji,Ujung Batu,11.01.04.2006
23761,Aceh,Aceh Selatan,Labuhan Haji,Pawoh,11.01.04.2007
23761,Aceh,Aceh Selatan,Labuhan Haji,Dalam,11.01.04.2008
23761,Aceh,Aceh Selatan,Labuhan Haji,Palak,
