kota_kabupaten_id,nama,logo
1101,Kabupaten Aceh Selatan,https://upload.wikimedia.org/wikipedia/commons/0/01/Lambang_Kabupaten_Aceh_Selatan.png
1102,Kabupaten Aceh Tenggara,https://upload.wikimedia.org/wikipedia/commons/e/e6/Lambang_Kabupaten_Aceh_Tenggara.png
1103,Kabupaten Aceh Timur,https://upload.wikimedia.org/wikipedia/commons/a/a0/Lambang_Kabupaten_Aceh_Timur.png
1104,Kabupaten Aceh Tengah,https://upload.wikimedia.org/wikipedia/commons/d/d1/Lambang_Kabupaten_Aceh_Tengah.png
1105,Kabupaten Aceh Barat,https://upload.wikimedia.org/wikipedia/commons/0/0c/Seal_of_Aceh_Barat_Regency.svg
1106,Kabupaten Aceh Besar,https://upload.wikimedia.org/wikipedia/commons/c/c8/Lambang_Kabupaten_Aceh_Besar.png
1107,Kabupaten Pidie,https://upload.wikimedia.org/wikipedia/commons/d/dc/Logo_Kabupaten_Pidie.jpg
1108,Kabupaten Aceh Utara,https://upload.wikimedia.org/wikipedia/commons/f/fe/Lambang_kab_acehutara.png
1109,Kabupaten Simeulue,https://upload.wikimedia.org/wikipedia/commons/2/29/LOGO_KABUPATEN_SIMEULUE.png
1110,Kabupaten Aceh Singkil,https://upload.wikimedia.org/wikipedia/commons/7/75/Lambang_Kabupaten_Aceh_Singkil.png
1111,Kabupaten Bireuen,https://upload.wikimedia.org/wikipedia/commons/0/0a/Logo_Bireuen.jpg
1112,Kabupaten Aceh Barat Daya,https://upload.wikimedia.org/wikipedia/commons/e/ea/Lambang_Kabupaten_Aceh_Barat_Daya.png
1113,Kabupaten Gayo Lues,https://upload.wikimedia.org/wikipedia/commons/7/7b/Lambang_Gayo_Lues.png
1114,Kabupaten Aceh Jaya,https://upload.wikimedia.org/wikipedia/commons/a/ac/Coat_of_arms_of_Aceh_Jaya.jpg
1115,Kabupaten Nagan Raya,https://upload.wikimedia.org/wikipedia/commons/e/eb/Lambang_Kabupaten_Nagan_Raya.png
1116,Kabupaten Aceh Tamiang,https://upload.wikimedia.org/wikipedia/commons/3/35/Lambang_Kabupaten_Aceh_Tamiang.png
1117,Kabupaten Bener Meriah,https://upload.wikimedia.org/wikipedia/commons/a/a0/Lambang_Kabupaten_Bener_Meriah.png
1118,Kabupaten Pidie Jaya,https://upload.wikimedia.org/wikipedia/commons/4/42/Lambang_Kabupaten_Pidie_Jaya.png
1171,Kota Banda Aceh,https://upload.wikimedia.org/wikipedia/commons/7/7e/Lambang_Kota_Banda_Aceh.png
1172,Kota Sabang,https://upload.wikimedia.org/wikipedia/commons/7/79/Lambang_Kota_Sabang.png
1173,Kota Lhokseumawe,https://upload.wikimedia.org/wikipedia/commons/6/6a/Lambang_Kota_Lhokseumawe.gif
1174,Kota Langsa,https://upload.wikimedia.org/wikipedia/commons/4/4a/Pemko_langsa.jpg
1175,Kota Subulussalam,https://upload.wikimedia.org/wikipedia/commons/2/27/Lambang_Kota_Subulussalam.png
1201,Kabupaten Tapanuli Tengah,https://upload.wikimedia.org/wikipedia/commons/d/d7/Lambang_Kabupaten_Tapanuli_Tengah.gif
1202,Kabupaten Tapanuli Utara,https://upload.wikimedia.org/wikipedia/commons/1/1c/Logo_Pemkab_Tapanuli_Utara.png
