provinsi_id,nama,logo
11,Aceh,https://upload.wikimedia.org/wikipedia/commons/4/41/Coat_of_arms_of_Aceh.svg
12,Sumatera Utara,https://upload.wikimedia.org/wikipedia/commons/c/c8/Coat_of_arms_of_North_Sumatra.svg
13,Sumatera Barat,https://upload.wikimedia.org/wikipedia/commons/5/56/Coat_of_arms_West_Sumatera.png
14,Riau,https://upload.wikimedia.org/wikipedia/commons/0/0b/Coat_of_arms_of_Riau.svg
15,Jambi,https://upload.wikimedia.org/wikipedia/commons/c/ca/Logo_Resmi_Provinsi_Jambi.png
16,Sumatera Selatan,https://upload.wikimedia.org/wikipedia/commons/4/45/Coat_of_arms_of_South_Sumatra.svg
17,Bengkulu,https://upload.wikimedia.org/wikipedia/commons/5/54/Coat_of_arms_of_Bengkulu.svg
18,Lampung,https://upload.wikimedia.org/wikipedia/commons/f/f0/Coat_of_arms_of_Lampung.svg
19,Kepulauan Bangka Belitung,https://upload.wikimedia.org/wikipedia/commons/0/08/Coat_of_arms_of_Bangka_Belitung_Islands.svg
21,Kepulauan Riau,https://upload.wikimedia.org/wikipedia/commons/5/54/Coat_of_arms_of_Riau_Islands.svg
31,Daerah Khusus Ibukota Jakarta,https://upload.wikimedia.org/wikipedia/commons/e/eb/Coat_of_arms_of_Jakarta.svg
32,Jawa Barat,https://upload.wikimedia.org/wikipedia/commons/9/99/Coat_of_arms_of_West_Java.svg
33,Jawa Tengah,https://upload.wikimedia.org/wikipedia/commons/b/bd/Coat_of_arms_of_Central_Java.svg
34,Daerah Istimewa Yogyakarta,https://upload.wikimedia.org/wikipedia/commons/b/b8/Coat_of_arms_of_Yogyakarta.svg
35,Jawa Timur,https://upload.wikimedia.org/wikipedia/commons/7/74/Coat_of_arms_of_East_Java.svg
36,Banten,https://upload.wikimedia.org/wikipedia/commons/5/52/Coat_of_arms_of_Banten.svg
51,Bali,https://upload.wikimedia.org/wikipedia/commons/e/ee/Official_seal_of_the_Province_of_Bali.png
52,Nusa Tenggara Barat,https://upload.wikimedia.org/wikipedia/commons/5/51/Coat_of_arms_of_West_Nusa_Tenggara.svg
53,Nusa Tenggara Timur,https://upload.wikimedia.org/wikipedia/commons/e/e9/Coat_of_Arms_of_East_Nusa_Tenggara_NEW.png
61,Kalimantan Barat,https://upload.wikimedia.org/wikipedia/commons/5/5d/Coat_of_arms_of_West_Kalimantan.svg
62,Kalimantan Tengah,https://upload.wikimedia.org/wikipedia/commons/4/4e/Coat_of_arms_of_Central_Kalimantan.svg
63,Kalimantan Selatan,https://upload.wikimedia.org/wikipedia/commons/a/a6/Coat_of_arms_of_South_Kalimantan.svg
64,Kalimantan Timur,https://upload.wikimedia.org/wikipedia/commons/b/bc/Coat_of_arms_of_East_Kalimantan.svg
65,Kalimantan Utara,https://upload.wikimedia.org/wikipedia/commons/2/21/Coat_of_arms_of_North_Kalimantan_%282021_version%29.svg
71,Sulawesi Utara,https://upload.wikimedia.org/wikipedia/commons/6/68/Coat_of_arms_of_North_Sulawesi.svg
72,Sulawesi Tengah,https://upload.wikimedia.org/wikipedia/commons/4/46/Coat_of_arms_of_Central_Sulawesi.svg
73,Sulawesi Selatan,https://upload.wikimedia.org/wikipedia/commons/6/67/Coat_of_arms_of_South_Sulawesi.svg
74,Sulawesi Tenggara,https://upload.wikimedia.org/wikipedia/commons/3/31/Coat_of_arms_of_Southeast_Sulawesi.svg
75,Gorontalo,https://upload.wikimedia.org/wikipedia/commons/0/01/Coat_of_arms_of_Gorontalo.svg
76,Sulawesi Barat,https://upload.wikimedia.org/wikipedia/commons/8/89/Coat_of_arms_of_West_Sulawesi.svg
81,Maluku,https://upload.wikimedia.org/wikipedia/commons/3/39/Coat_of_arms_of_Maluku.svg
82,Maluku Utara,https://upload.wikimedia.org/wikipedia/commons/7/73/Coat_of_arms_of_North_Maluku.svg
91,Papua,https://upload.wikimedia.org/wikipedia/commons/9/98/Coat_of_arms_of_Papua_2.svg
92,Papua Barat,https://upload.wikimedia.org/wikipedia/commons/d/de/Coat_of_arms_of_West_Papua.svg
93,Papua Selatan,https://upload.wikimedia.org/wikipedia/commons/a/aa/Logo_Papua_Selatan.png
94,Papua Tengah,https://upload.wikimedia.org/wikipedia/commons/9/96/Lambang_Papua_Tengah.png
95,Papua Pegunungan,https://upload.wikimedia.org/wikipedia/commons/2/27/Lambang_Papua_Pegunungan.svg
96,Papua Barat Daya,https://upload.wikimedia.org/wikipedia/commons/9/97/Logo_Papua_Barat_Daya1.png
